visitor_id,visitor_type,device,traffic_source,add_to_cart,checkout_started,subscribed,revenue
V000150,new,mobile,paid_social,0,0,0,0.0
V000151,new,mobile,paid_social,0,0,0,0.0
V000152,returning,desktop,organic_search,0,0,0,0.0
V000153,new,mobile,paid_social,0,0,0,0.0
V000154,new,mobile,direct,0,0,0,0.0
V000155,new,desktop,paid_social,0,0,0,0.0
V000156,new,mobile,influencer,0,0,0,0.0
V000157,returning,mobile,email,1,1,1,48.87
V000158,returning,desktop,paid_social,0,0,0,0.0
V000159,new,mobile,paid_social,0,0,0,0.0
V000160,new,mobile,direct,0,0,0,0.0
V000161,returning,mobile,paid_social,0,0,0,0.0
V000162,returning,mobile,organic_search,0,0,0,0.0
V000163,new,desktop,influencer,0,0,0,0.0
V000164,returning,desktop,email,0,0,0,0.0
V000165,returning,mobile,paid_social,0,0,0,0.0
V000166,returning,mobile,organic_search,0,0,0,0.0
V000167,returning,tablet,email,0,0,0,0.0
V000168,new,mobile,organic_search,0,0,0,0.0
V000169,new,mobile,direct,0,0,0,0.0
V000170,new,mobile,direct,0,0,0,0.0
V000171,new,desktop,email,0,0,0,0.0
V000172,returning,mobile,paid_social,0,0,0,0.0
V000173,new,mobile,paid_social,0,0,0,0.0
V000174,returning,mobile,paid_social,0,0,0,0.0
V000175,new,mobile,direct,0,0,0,0.0
V000176,new,mobile,direct,1,0,0,0.0
V000177,new,mobile,paid_social,0,0,0,0.0
V000178,new,desktop,paid_social,0,0,0,0.0
V000179,new,mobile,paid_social,0,0,0,0.0
V000180,new,desktop,influencer,0,0,0,0.0
V000181,new,desktop,paid_social,0,0,0,0.0
V000182,returning,mobile,paid_social,0,0,0,0.0
V000183,new,desktop,email,0,0,0,0.0
V000184,new,mobile,influencer,0,0,0,0.0
V000185,new,mobile,paid_social,0,0,0,0.0
V000186,new,mobile,direct,0,0,0,0.0
V000187,new,desktop,organic_search,0,0,0,0.0
V000188,returning,desktop,paid_social,0,0,0,0.0
V000189,returning,mobile,paid_social,0,0,0,0.0
V000190,new,desktop,organic_search,0,0,0,0.0
V000191,new,desktop,paid_social,0,0,0,0.0
V000192,new,mobile,email,1,1,1,47.47
V000193,new,mobile,email,0,0,0,0.0
V000194,new,mobile,email,0,0,0,0.0
V000195,new,desktop,paid_social,0,0,0,0.0
V000196,returning,mobile,email,0,0,0,0.0
V000197,new,desktop,direct,0,0,0,0.0
V000198,returning,mobile,paid_social,0,0,0,0.0
V000199,new,desktop,direct,1,1,1,50.65
V000200,returning,mobile,organic_search,0,0,0,0.0
V000201,new,desktop,organic_search,0,0,0,0.0
V000202,returning,desktop,paid_social,0,0,0,0.0
V000203,returning,desktop,email,0,0,0,0.0
V000204,returning,mobile,email,0,0,0,0.0
V000205,new,mobile,email,0,0,0,0.0
V000206,returning,mobile,paid_social,0,0,0,0.0
V000207,returning,desktop,paid_social,0,0,0,0.0
V000208,returning,desktop,direct,0,0,0,0.0
V000209,new,mobile,email,0,0,0,0.0
V000210,returning,mobile,organic_search,0,0,0,0.0
V000211,returning,mobile,email,0,0,0,0.0
V000212,new,desktop,direct,0,0,0,0.0
V000213,new,desktop,direct,0,0,0,0.0
V000214,new,mobile,organic_search,0,0,0,0.0
V000215,returning,tablet,organic_search,0,0,0,0.0
V000216,returning,mobile,influencer,0,0,0,0.0
V000217,returning,mobile,paid_social,0,0,0,0.0
V000218,returning,mobile,paid_social,0,0,0,0.0
V000219,new,mobile,direct,0,0,0,0.0
V000220,new,desktop,paid_social,0,0,0,0.0
V000221,new,desktop,paid_social,0,0,0,0.0
V000222,new,desktop,email,0,0,0,0.0
V000223,new,mobile,organic_search,1,1,1,50.63
V000224,returning,desktop,email,0,0,0,0.0
V000225,new,mobile,email,0,0,0,0.0
V000226,new,tablet,direct,1,1,1,48.63
V000227,new,desktop,organic_search,0,0,0,0.0
V000228,returning,mobile,organic_search,0,0,0,0.0
V000229,returning,desktop,email,1,1,1,53.61
V000230,returning,tablet,paid_social,0,0,0,0.0
V000231,new,mobile,direct,0,0,0,0.0
V000232,returning,mobile,paid_social,0,0,0,0.0
V000233,new,mobile,paid_social,0,0,0,0.0
V000234,returning,mobile,organic_search,0,0,0,0.0
V000235,new,mobile,organic_search,0,0,0,0.0
V000236,new,desktop,direct,0,0,0,0.0
V000237,new,desktop,paid_social,0,0,0,0.0
V000238,returning,mobile,organic_search,0,0,0,0.0
V000239,new,desktop,organic_search,1,1,1,49.07
V000240,returning,mobile,organic_search,0,0,0,0.0
V000241,new,mobile,organic_search,0,0,0,0.0
V000242,returning,desktop,email,0,0,0,0.0
V000243,returning,mobile,paid_social,1,1,1,50.57
V000244,new,mobile,paid_social,0,0,0,0.0
V000245,returning,mobile,organic_search,0,0,0,0.0
V000246,new,mobile,paid_social,0,0,0,0.0
V000247,returning,desktop,influencer,0,0,0,0.0
V000248,new,mobile,paid_social,0,0,0,0.0
V000249,new,desktop,paid_social,1,1,1,50.53
V000250,returning,mobile,direct,0,0,0,0.0
V000251,new,desktop,paid_social,1,1,0,0.0
V000252,new,desktop,direct,0,0,0,0.0
V000253,new,desktop,email,0,0,0,0.0
V000254,new,desktop,email,0,0,0,0.0
V000255,returning,desktop,paid_social,0,0,0,0.0
V000256,new,mobile,paid_social,0,0,0,0.0
V000257,returning,mobile,organic_search,0,0,0,0.0
V000258,new,mobile,organic_search,0,0,0,0.0
V000259,new,mobile,direct,0,0,0,0.0
V000260,returning,mobile,email,0,0,0,0.0
V000261,new,mobile,paid_social,0,0,0,0.0
V000262,new,mobile,organic_search,0,0,0,0.0
V000263,returning,mobile,direct,1,1,1,49.93
V000264,new,mobile,direct,0,0,0,0.0
V000265,new,desktop,direct,1,1,1,50.98
V000266,returning,mobile,paid_social,0,0,0,0.0
V000267,new,mobile,organic_search,0,0,0,0.0
V000268,returning,mobile,organic_search,1,1,1,49.83
V000269,returning,mobile,paid_social,0,0,0,0.0
V000270,new,mobile,paid_social,0,0,0,0.0
V000271,new,desktop,direct,0,0,0,0.0
V000272,new,mobile,influencer,0,0,0,0.0
V000273,returning,mobile,organic_search,0,0,0,0.0
V000274,new,desktop,paid_social,0,0,0,0.0
V000275,new,desktop,paid_social,1,1,1,50.96
V000276,new,mobile,influencer,0,0,0,0.0
V000277,returning,desktop,paid_social,0,0,0,0.0
V000278,new,mobile,paid_social,1,1,1,47.74
V000279,returning,tablet,influencer,0,0,0,0.0
V000280,new,mobile,paid_social,0,0,0,0.0
V000281,returning,mobile,organic_search,0,0,0,0.0
V000282,new,mobile,paid_social,0,0,0,0.0
V000283,new,mobile,paid_social,0,0,0,0.0
V000284,returning,desktop,paid_social,0,0,0,0.0
V000285,new,tablet,email,0,0,0,0.0
V000286,returning,mobile,organic_search,1,0,0,0.0
V000287,new,mobile,paid_social,0,0,0,0.0
V000288,new,mobile,direct,0,0,0,0.0
V000289,new,mobile,paid_social,0,0,0,0.0
V000290,new,mobile,paid_social,0,0,0,0.0
V000291,new,mobile,organic_search,0,0,0,0.0
V000292,new,mobile,organic_search,0,0,0,0.0
V000293,new,mobile,influencer,0,0,0,0.0
V000294,returning,mobile,influencer,0,0,0,0.0
V000295,new,mobile,direct,0,0,0,0.0
V000296,new,mobile,paid_social,0,0,0,0.0
V000297,new,mobile,direct,0,0,0,0.0
V000298,new,mobile,organic_search,0,0,0,0.0
V000299,returning,mobile,influencer,0,0,0,0.0
V000300,returning,desktop,paid_social,0,0,0,0.0
V000301,new,tablet,direct,0,0,0,0.0
V000302,new,mobile,direct,0,0,0,0.0
V000303,returning,tablet,paid_social,0,0,0,0.0
V000304,new,mobile,paid_social,0,0,0,0.0
V000305,new,desktop,paid_social,1,1,1,50.27
V000306,new,desktop,influencer,0,0,0,0.0
V000307,returning,mobile,organic_search,0,0,0,0.0
V000308,returning,mobile,organic_search,0,0,0,0.0
V000309,returning,mobile,direct,0,0,0,0.0
V000310,new,mobile,email,1,1,1,47.95
V000311,returning,mobile,paid_social,0,0,0,0.0
V000312,returning,desktop,direct,0,0,0,0.0
V000313,returning,mobile,direct,1,1,1,53.58
V000314,returning,mobile,organic_search,1,1,1,50.02
V000315,new,desktop,paid_social,0,0,0,0.0
V000316,new,desktop,email,0,0,0,0.0
V000317,new,desktop,paid_social,0,0,0,0.0
V000318,new,desktop,email,0,0,0,0.0
V000319,returning,mobile,organic_search,0,0,0,0.0
V000320,new,mobile,direct,0,0,0,0.0
V000321,returning,mobile,organic_search,1,1,1,51.18
V000322,new,mobile,organic_search,0,0,0,0.0
V000323,returning,mobile,paid_social,0,0,0,0.0
V000324,new,mobile,paid_social,0,0,0,0.0
V000325,new,desktop,organic_search,0,0,0,0.0
V000326,new,desktop,organic_search,0,0,0,0.0
V000327,new,desktop,paid_social,0,0,0,0.0
V000328,returning,desktop,influencer,0,0,0,0.0
V000329,new,mobile,paid_social,0,0,0,0.0
V000330,returning,mobile,paid_social,0,0,0,0.0
V000331,new,desktop,organic_search,0,0,0,0.0
V000332,new,mobile,organic_search,0,0,0,0.0
V000333,returning,mobile,organic_search,0,0,0,0.0
V000334,new,desktop,direct,0,0,0,0.0
V000335,returning,mobile,organic_search,0,0,0,0.0
V000336,new,desktop,direct,0,0,0,0.0
V000337,returning,mobile,direct,0,0,0,0.0
V000338,new,tablet,email,0,0,0,0.0
V000339,new,mobile,paid_social,0,0,0,0.0
V000340,returning,desktop,paid_social,0,0,0,0.0
V000341,new,desktop,paid_social,0,0,0,0.0
V000342,returning,desktop,email,1,0,0,0.0
V000343,returning,mobile,direct,1,1,0,0.0
V000344,new,mobile,paid_social,0,0,0,0.0
V000345,returning,mobile,email,0,0,0,0.0
V000346,returning,mobile,paid_social,0,0,0,0.0
V000347,new,mobile,paid_social,0,0,0,0.0
V000348,new,mobile,paid_social,0,0,0,0.0
V000349,new,desktop,organic_search,0,0,0,0.0
V000350,returning,tablet,direct,0,0,0,0.0
V000351,new,mobile,direct,0,0,0,0.0
V000352,new,mobile,direct,0,0,0,0.0
V000353,returning,mobile,email,0,0,0,0.0
V000354,returning,tablet,organic_search,0,0,0,0.0
V000355,new,desktop,paid_social,0,0,0,0.0
V000356,returning,mobile,direct,0,0,0,0.0
V000357,new,desktop,paid_social,0,0,0,0.0
V000358,returning,desktop,influencer,0,0,0,0.0
V000359,new,mobile,email,0,0,0,0.0
V000360,new,mobile,organic_search,0,0,0,0.0
V000361,returning,mobile,direct,0,0,0,0.0
V000362,returning,mobile,email,0,0,0,0.0
V000363,returning,mobile,direct,1,1,1,49.68
V000364,returning,desktop,email,0,0,0,0.0
V000365,new,mobile,influencer,0,0,0,0.0
V000366,new,mobile,direct,0,0,0,0.0
V000367,new,desktop,organic_search,0,0,0,0.0
V000368,new,mobile,organic_search,0,0,0,0.0
V000369,new,mobile,paid_social,0,0,0,0.0
V000370,new,desktop,email,0,0,0,0.0
V000371,new,mobile,direct,0,0,0,0.0
V000372,new,desktop,paid_social,0,0,0,0.0
V000373,new,tablet,paid_social,0,0,0,0.0
V000374,new,mobile,organic_search,1,1,1,47.82
V000375,new,desktop,influencer,0,0,0,0.0
V000376,new,mobile,influencer,0,0,0,0.0
V000377,returning,mobile,influencer,0,0,0,0.0
V000378,new,mobile,organic_search,0,0,0,0.0
V000379,returning,mobile,organic_search,0,0,0,0.0
V000380,returning,desktop,email,0,0,0,0.0
V000381,new,mobile,organic_search,0,0,0,0.0
V000382,new,mobile,direct,0,0,0,0.0
V000383,returning,mobile,paid_social,1,1,1,49.7
V000384,new,mobile,direct,0,0,0,0.0
V000385,returning,mobile,influencer,0,0,0,0.0
V000386,returning,desktop,influencer,0,0,0,0.0
V000387,new,mobile,email,0,0,0,0.0
V000388,returning,mobile,paid_social,0,0,0,0.0
V000389,returning,mobile,paid_social,0,0,0,0.0
V000390,new,mobile,paid_social,0,0,0,0.0
V000391,returning,mobile,organic_search,1,1,1,51.12
V000392,new,mobile,email,0,0,0,0.0
V000393,returning,mobile,paid_social,0,0,0,0.0
V000394,new,mobile,organic_search,0,0,0,0.0
V000395,returning,mobile,direct,0,0,0,0.0
V000396,new,desktop,paid_social,0,0,0,0.0
V000397,new,mobile,paid_social,0,0,0,0.0
V000398,new,mobile,email,1,1,1,47.28
V000399,returning,desktop,paid_social,0,0,0,0.0
V000400,returning,desktop,direct,0,0,0,0.0
V000401,new,mobile,email,0,0,0,0.0
V000402,new,desktop,organic_search,0,0,0,0.0
V000403,new,mobile,email,0,0,0,0.0
V000404,returning,mobile,email,0,0,0,0.0
V000405,new,mobile,direct,0,0,0,0.0
V000406,returning,mobile,influencer,0,0,0,0.0
V000407,returning,desktop,direct,0,0,0,0.0
V000408,new,mobile,direct,0,0,0,0.0
V000409,new,mobile,organic_search,0,0,0,0.0
V000410,new,desktop,direct,0,0,0,0.0
V000411,returning,desktop,influencer,0,0,0,0.0
V000412,returning,mobile,email,1,1,1,49.01
V000413,returning,mobile,organic_search,0,0,0,0.0
V000414,new,desktop,direct,0,0,0,0.0
V000415,new,mobile,paid_social,0,0,0,0.0
V000416,new,desktop,direct,0,0,0,0.0
V000417,new,desktop,organic_search,0,0,0,0.0
V000418,returning,mobile,influencer,0,0,0,0.0
V000419,new,mobile,paid_social,0,0,0,0.0
V000420,returning,mobile,email,0,0,0,0.0
V000421,returning,mobile,organic_search,0,0,0,0.0
V000422,returning,desktop,paid_social,0,0,0,0.0
V000423,returning,desktop,direct,0,0,0,0.0
V000424,returning,desktop,influencer,1,1,1,47.37
V000425,returning,tablet,email,0,0,0,0.0
V000426,new,mobile,paid_social,0,0,0,0.0
V000427,returning,mobile,influencer,0,0,0,0.0
V000428,new,desktop,organic_search,0,0,0,0.0
V000429,new,desktop,paid_social,0,0,0,0.0
V000430,new,mobile,direct,0,0,0,0.0
V000431,returning,mobile,direct,0,0,0,0.0
V000432,returning,desktop,influencer,1,0,0,0.0
V000433,new,mobile,paid_social,0,0,0,0.0
V000434,new,mobile,paid_social,0,0,0,0.0
V000435,returning,mobile,paid_social,0,0,0,0.0
V000436,returning,desktop,organic_search,0,0,0,0.0
V000437,new,desktop,organic_search,0,0,0,0.0
V000438,new,mobile,direct,0,0,0,0.0
V000439,new,mobile,direct,0,0,0,0.0
V000440,new,mobile,paid_social,0,0,0,0.0
V000441,new,mobile,paid_social,0,0,0,0.0
V000442,new,mobile,organic_search,0,0,0,0.0
V000443,new,mobile,organic_search,0,0,0,0.0
V000444,returning,desktop,paid_social,0,0,0,0.0
V000445,returning,mobile,paid_social,0,0,0,0.0
V000446,new,mobile,direct,0,0,0,0.0
V000447,new,desktop,direct,0,0,0,0.0
V000448,new,mobile,email,0,0,0,0.0
V000449,returning,desktop,paid_social,1,1,1,49.33
V000450,new,desktop,organic_search,0,0,0,0.0
V000451,new,mobile,paid_social,0,0,0,0.0
V000452,new,mobile,influencer,0,0,0,0.0
V000453,new,mobile,direct,0,0,0,0.0
V000454,returning,mobile,direct,0,0,0,0.0
V000455,returning,mobile,organic_search,0,0,0,0.0
V000456,new,desktop,paid_social,1,1,1,52.67
V000457,returning,desktop,influencer,0,0,0,0.0
V000458,new,desktop,direct,0,0,0,0.0
V000459,new,mobile,influencer,0,0,0,0.0
V000460,new,tablet,paid_social,1,0,0,0.0
V000461,new,desktop,email,0,0,0,0.0
V000462,returning,mobile,organic_search,0,0,0,0.0
V000463,returning,mobile,organic_search,0,0,0,0.0
V000464,returning,desktop,organic_search,0,0,0,0.0
V000465,new,desktop,paid_social,0,0,0,0.0
V000466,new,desktop,organic_search,0,0,0,0.0
V000467,new,tablet,influencer,0,0,0,0.0
V000468,new,desktop,email,0,0,0,0.0
V000469,new,desktop,influencer,0,0,0,0.0
V000470,new,mobile,paid_social,0,0,0,0.0
V000471,new,desktop,paid_social,0,0,0,0.0
V000472,returning,mobile,email,0,0,0,0.0
V000473,returning,desktop,paid_social,0,0,0,0.0
V000474,returning,mobile,organic_search,0,0,0,0.0
V000475,new,mobile,email,0,0,0,0.0
V000476,new,mobile,direct,0,0,0,0.0
V000477,new,mobile,email,1,0,0,0.0
V000478,new,desktop,organic_search,0,0,0,0.0
V000479,new,mobile,organic_search,0,0,0,0.0
V000480,returning,desktop,email,0,0,0,0.0
V000481,returning,mobile,organic_search,0,0,0,0.0
V000482,new,desktop,organic_search,1,1,0,0.0
V000483,new,tablet,organic_search,0,0,0,0.0
V000484,returning,mobile,direct,1,1,0,0.0
V000485,new,mobile,direct,0,0,0,0.0
V000486,new,desktop,paid_social,0,0,0,0.0
V000487,new,mobile,influencer,0,0,0,0.0
V000488,new,mobile,email,0,0,0,0.0
V000489,new,mobile,organic_search,0,0,0,0.0
V000490,returning,mobile,paid_social,0,0,0,0.0
V000491,new,mobile,email,0,0,0,0.0
V000492,returning,mobile,organic_search,0,0,0,0.0
V000493,new,desktop,direct,0,0,0,0.0
V000494,returning,desktop,paid_social,0,0,0,0.0
V000495,returning,mobile,paid_social,0,0,0,0.0
V000496,new,desktop,organic_search,0,0,0,0.0
V000497,new,desktop,direct,0,0,0,0.0
V000498,returning,mobile,email,1,1,1,48.65
V000499,new,mobile,organic_search,0,0,0,0.0
V000500,returning,desktop,direct,0,0,0,0.0
V000501,new,mobile,direct,0,0,0,0.0
V000502,new,mobile,direct,0,0,0,0.0
V000503,returning,mobile,paid_social,0,0,0,0.0
V000504,new,desktop,email,0,0,0,0.0
V000505,returning,mobile,organic_search,0,0,0,0.0
V000506,new,desktop,email,1,1,1,47.64
V000507,new,mobile,direct,0,0,0,0.0
V000508,new,desktop,email,0,0,0,0.0
V000509,new,mobile,paid_social,1,1,1,51.33
V000510,new,mobile,organic_search,0,0,0,0.0
V000511,new,mobile,influencer,0,0,0,0.0
V000512,new,mobile,paid_social,0,0,0,0.0
V000513,returning,mobile,direct,0,0,0,0.0
V000514,returning,mobile,paid_social,0,0,0,0.0
V000515,new,mobile,paid_social,1,1,1,50.66
V000516,returning,mobile,organic_search,0,0,0,0.0
V000517,returning,desktop,organic_search,0,0,0,0.0
V000518,new,desktop,influencer,0,0,0,0.0
V000519,new,desktop,organic_search,0,0,0,0.0
V000520,returning,desktop,organic_search,0,0,0,0.0
V000521,new,tablet,organic_search,0,0,0,0.0
V000522,new,mobile,paid_social,0,0,0,0.0
V000523,returning,desktop,paid_social,0,0,0,0.0
V000524,returning,desktop,influencer,0,0,0,0.0
V000525,new,desktop,email,0,0,0,0.0
V000526,returning,mobile,influencer,0,0,0,0.0
V000527,returning,desktop,paid_social,1,1,1,51.02
V000528,returning,mobile,influencer,1,1,1,48.32
V000529,new,desktop,email,0,0,0,0.0
V000530,new,mobile,direct,0,0,0,0.0
V000531,new,desktop,influencer,0,0,0,0.0
V000532,new,desktop,influencer,0,0,0,0.0
V000533,new,desktop,influencer,0,0,0,0.0
V000534,new,mobile,paid_social,0,0,0,0.0
V000535,new,tablet,organic_search,0,0,0,0.0
V000536,new,mobile,influencer,0,0,0,0.0
V000537,returning,desktop,organic_search,0,0,0,0.0
V000538,new,desktop,email,0,0,0,0.0
V000539,returning,mobile,direct,0,0,0,0.0
V000540,returning,mobile,direct,0,0,0,0.0
V000541,returning,mobile,direct,0,0,0,0.0
V000542,returning,mobile,paid_social,0,0,0,0.0
V000543,new,mobile,paid_social,0,0,0,0.0
V000544,new,mobile,paid_social,0,0,0,0.0
V000545,returning,desktop,email,0,0,0,0.0
V000546,returning,mobile,paid_social,0,0,0,0.0
V000547,new,mobile,paid_social,0,0,0,0.0
V000548,returning,mobile,organic_search,0,0,0,0.0
V000549,new,desktop,direct,0,0,0,0.0
V000550,new,mobile,paid_social,1,1,1,51.97
V000551,new,mobile,direct,0,0,0,0.0
V000552,new,mobile,email,1,1,0,0.0
V000553,new,mobile,organic_search,0,0,0,0.0
V000554,returning,mobile,email,0,0,0,0.0
V000555,new,desktop,organic_search,0,0,0,0.0
V000556,new,desktop,organic_search,0,0,0,0.0
V000557,new,desktop,influencer,0,0,0,0.0
V000558,new,mobile,direct,0,0,0,0.0
V000559,new,mobile,email,0,0,0,0.0
V000560,new,mobile,influencer,0,0,0,0.0
V000561,new,desktop,organic_search,0,0,0,0.0
V000562,new,desktop,paid_social,0,0,0,0.0
V000563,new,mobile,direct,0,0,0,0.0
V000564,new,mobile,organic_search,0,0,0,0.0
V000565,returning,mobile,email,0,0,0,0.0
V000566,new,mobile,influencer,0,0,0,0.0
V000567,new,desktop,organic_search,0,0,0,0.0
V000568,new,mobile,influencer,0,0,0,0.0
V000569,new,desktop,organic_search,0,0,0,0.0
